sec,nanosec,frame_id,name0,name1,name2,name3,name4,position0,position1,position2,position3,position4,velocity0,velocity1,velocity2,velocity3,velocity4,effort0,effort1,effort2,effort3,effort4
624,128000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232447420233e-06,8.210037613576304e-05,1.2865331733280527e-07,-0.00010235767741395563,-1.4408829282944633e-09,0.00348057171377713,0.0821003761712286,6.277310348772318e-06,-0.10235767746025504,-1.2055254877645296e-06,0.0,0.0,0.0,0.0,0.0
624,129000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232447420233e-06,8.210037613487486e-05,1.2865331733280527e-07,-0.00010235767741395563,-1.4408829324039491e-09,0.003480571713761873,0.0821003761713298,6.277310357363021e-06,-0.10235767746054575,-1.2055254875347742e-06,0.0,0.0,0.0,0.0,0.0
624,148000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232429656665e-06,8.210037613576304e-05,1.2865331733280527e-07,-0.00010235767741573198,-1.4408829266863415e-09,0.0034805717136408617,0.08210037617150771,6.277310361206278e-06,-0.10235767746061661,-1.2055254875750438e-06,0.0,0.0,0.0,0.0,0.0
624,150000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232411893096e-06,8.210037613576304e-05,1.2865331733280527e-07,-0.00010235767741395563,-1.4408829334678688e-09,0.0034805717136123493,0.08210037617134167,6.277310360582121e-06,-0.10235767746019733,-1.2055254881505417e-06,0.0,0.0,0.0,0.0,0.0
624,151000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723243853845e-06,8.210037613665122e-05,1.2865331733280527e-07,-0.00010235767741395563,-1.4408829320259544e-09,0.0034805717136319877,0.08210037617122662,6.277310358614766e-06,-0.10235767745985926,-1.2055254889298483e-06,0.0,0.0,0.0,0.0,0.0
624,153000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232429656665e-06,8.210037613576304e-05,1.2865331733280527e-07,-0.00010235767741573198,-1.4408829312375227e-09,0.003480571713653931,0.08210037617153843,6.27731036982098e-06,-0.1023576774608213,-1.2055254880995849e-06,0.0,0.0,0.0,0.0,0.0
624,154000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232429656665e-06,8.210037613665122e-05,1.2865331733280527e-07,-0.00010235767741395563,-1.4408829318188549e-09,0.0034805717136555127,0.08210037617147287,6.277310364620027e-06,-0.10235767746052207,-1.2055254873866112e-06,0.0,0.0,0.0,0.0,0.0
624,166000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232429656665e-06,8.210037613665122e-05,1.2865331733280527e-07,-0.00010235767741217927,-1.4408829325233015e-09,0.003480571713738769,0.08210037617123128,6.277310326549552e-06,-0.10235767745942596,-1.205525489900842e-06,0.0,0.0,0.0,0.0,0.0
624,201000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232385247744e-06,8.210037613576304e-05,1.2865331733280527e-07,-0.00010235767741217927,-1.4408829315102332e-09,0.003480571713644473,0.08210037617118303,6.277310348219219e-06,-0.10235767745925783,-1.2055254885164217e-06,0.0,0.0,0.0,0.0,0.0
624,265000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723235860239e-06,8.210037613487486e-05,1.2865331733280527e-07,-0.00010235767741217927,-1.4408829318603926e-09,0.003480571713897779,0.08210037617087503,6.277310327144015e-06,-0.10235767745951854,-1.2055254888970507e-06,0.0,0.0,0.0,0.0,0.0
